Field100,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
P1136,5,133.632,141.727,82.34,177.401,220.869,192.535
P1136,6,124.09,118.607,84.457,157.181,211.94,191.085
P1136,7,123.952,73.304,68.305,129.344,191.501,135.71
P1136,8,127.37,143.37,57.592,155.419,189.081,158.16
P1137,1,108.358,22.659,111.44,162.841,222.189,164.363
P1137,2,107.391,21.335,92.781,157.695,201.906,160.746
P1137,3,103.099,20.533,74.494,113.825,180.297,115.544
P1137,4,127.475,18.951,32.286,97.156,161.227,99.971
P1137,5,139.027,21.104,38.872,146.124,180.099,146.707
P1137,6,135.325,21.441,13.196,119.048,151.412,120.713
P1137,7,139.241,22.4,8.155,86.735,150.719,85.638
P1137,8,138.211,24.5,15.896,105.186,156.709,102.262
P1138,1,56.168,7.449,177.506,170.996,233.102,170.723
P1138,2,55.637,7.895,139.607,98.394,194.499,97.597
P1138,3,56.489,9.463,173.358,119.509,229.133,119.542
P1138,4,61.745,41.083,146.993,97.588,208.067,103.647
P1138,5,65.394,17.408,158.192,96.204,222.061,95.249
P1138,6,62.803,18.951,167.638,477.169,229.115,477.391
P1138,7,61.442,10.34,143.827,101.749,203.748,101.485
P1138,8,61.687,9.941,128.877,82.811,189.186,83.335
P1139,1,80.935,22.582,142.073,197.96,224.972,197.683
P1139,2,85.821,20.344,104.556,121.118,192.092,121.314
P1139,3,84.885,21.795,79.915,106.057,166.583,105.57
P1139,4,84.319,23.6,96.187,143.094,183.19,142.571
P1139,5,79.315,21.784,104.96,142.623,186.157,143.171
P1139,6,91.378,26.37,76.76,109.742,170.75,111.217
P1139,7,84.731,24.023,74.325,108.809,161.499,108.038
P1139,8,84.486,24.808,65.172,114.36,152.571,112.746
P1140,1,130.041,27.469,55.089,144.94,182.927,148.425
P1140,2,135.017,25.744,57.143,134.706,191.003,133.894
P1140,3,132.54,34.902,25.319,98.552,157.101,98.022
P1140,4,128.578,35.488,19.743,88.176,146.624,89.84
P1140,5,130.314,31.754,20.748,85.213,150.205,81.956
P1140,6,132.064,29.187,33.174,93.474,162.288,87.886
P1140,7,131.723,26.226,31.525,97.924,161.225,91.223
P1140,8,141.043,32.584,35.24,107.998,173.991,101.654
P1141,1,94.788,21.929,100.709,152.551,196.281,147.088
P1141,2,93.432,23.395,84.779,113.242,177.997,105.3
P1141,3,91.409,19.578,69.038,83.547,160.862,77.301
P1141,4,108.527,27.282,61.949,106.392,170.692,96.521
P1141,5,95.527,21.576,54.845,89.007,150.793,81.537
P1141,6,98.295,20.592,84.897,380.36,183.323,380.505
P1141,7,110.119,22.407,30.714,68.743,141.542,54.356
P1141,8,112.715,26.986,49.614,91.933,162.946,78.467
P1143,1,93.828,23.541,191.049,152.211,288.285,162.638
P1143,2,99.756,20.461,124.557,133.579,226.512,138.008
P1143,3,102.119,23.23,118.629,135.742,224.316,142.173
P1143,4,102.454,23.128,104.605,129.409,210.819,135.654
P1143,5,95.839,19.644,92.364,114.202,190.734,118.637
P1143,6,99.645,17.848,97.834,116.432,199.934,120.677
P1143,7,100.059,20.687,97.949,113.456,200.179,115.543
P1143,8,99.623,18.875,80.525,101.706,182.052,100.371
P1144,1,73.899,12.25,200.124,195.049,271.997,195.066
P1144,2,75.927,15.927,177.63,190.248,251.51,190.412
P1144,3,74.077,14.444,172.238,272.58,244.138,272.508
P1144,4,70.564,11.858,117.693,112.791,186.039,113.067
P1144,5,72.583,51.877,121.499,118.718,192.083,128.329
P1144,6,72.342,15.864,115.671,102.202,185.738,102.858
P1144,7,78.747,59.946,153.021,147.77,229.842,158.562
P1144,8,82.352,161.337,114.496,113.901,192.722,191.736
P1146,1,74.075,16.873,381.461,280.385,456.546,277.949
P1146,2,71.632,14.302,328.87,259.259,400.789,257.0
P1146,3,66.917,14.391,326.126,219.06,393.315,216.0
P1146,4,71.493,17.503,288.73,214.448,360.659,212.095
P1146,5,77.47,17.554,290.383,210.816,368.214,207.148
P1146,6,78.43,16.138,303.743,221.266,382.339,218.532
P1146,7,73.811,19.198,281.177,217.447,356.166,211.663
P1146,8,74.306,15.877,250.4,188.307,325.481,184.721
P1147,1,91.677,14.136,98.899,156.432,189.135,155.19
P1147,2,98.483,17.039,75.589,114.045,172.87,111.045
P1147,3,93.253,15.02,49.006,89.315,140.799,85.515
P1147,4,90.703,14.184,41.298,81.409,130.418,78.755
P1147,5,111.833,20.685,37.545,91.178,147.29,85.78
P1147,6,94.621,15.255,34.748,74.178,128.522,72.264
P1147,7,99.474,15.925,32.131,89.455,131.274,89.887
P1147,8,93.667,14.188,28.583,60.841,121.457,59.133
P1148,1,144.646,24.615,39.168,124.181,187.878,118.122
P1148,2,147.251,27.078,21.741,124.192,174.2,119.611
P1148,3,155.388,28.869,5.527,109.125,166.712,101.618
P1148,4,156.588,34.404,55.982,164.853,217.912,154.42
P1148,5,154.269,29.522,34.759,131.254,194.717,123.159
P1148,6,146.723,29.585,19.215,93.887,171.915,86.124
P1148,7,148.522,28.995,42.297,118.82,195.209,107.594
P1148,8,148.785,31.179,43.003,119.528,197.56,113.609
P1149,1,94.116,22.021,75.503,75.41,168.129,77.171
P1149,2,85.313,24.687,66.047,57.957,148.436,62.502
P1149,3,86.559,43.688,58.496,54.215,141.877,68.348
P1149,4,90.69,32.761,53.984,111.486,139.575,111.959
P1149,5,93.198,26.704,38.92,53.88,127.024,50.567
P1149,6,93.259,22.591,30.806,63.535,122.008,60.83
P1149,7,103.417,30.708,25.222,61.349,125.581,64.075
P1149,8,99.707,29.544,18.675,56.153,112.885,53.306
P1150,1,89.353,14.137,441.093,1147.611,528.677,1147.125
P1150,2,88.223,13.295,252.778,226.607,339.55,223.781
P1150,3,91.362,14.532,297.064,264.14,387.26,261.248
P1150,4,89.752,12.657,215.145,206.162,303.408,205.268
P1150,5,89.547,12.358,200.475,168.074,288.658,165.917
P1150,6,86.825,12.07,204.539,179.698,290.368,178.289
P1150,7,89.317,11.972,196.632,174.832,284.595,171.92
P1150,8,88.364,12.401,194.412,153.844,281.902,150.862
P1151,1,111.449,18.99,167.676,188.137,276.805,190.252
P1151,2,117.765,24.177,112.623,155.414,227.224,148.794
P1151,3,114.661,21.562,88.036,133.897,200.074,131.372
P1151,4,107.405,15.644,75.312,129.051,181.62,126.728
P1151,5,111.529,20.499,63.334,114.633,174.474,110.442
P1151,6,109.659,17.994,65.418,128.272,174.765,125.304
P1151,7,113.201,21.083,56.55,110.455,169.455,105.025
P1151,8,116.59,21.354,67.297,127.897,183.859,122.887
P1152,1,78.935,12.791,82.79,120.575,160.697,118.84
P1152,2,76.673,13.457,58.901,92.223,135.615,89.964
P1152,3,89.234,18.838,52.736,102.093,142.748,101.358
P1152,4,90.022,15.48,57.847,112.682,148.346,109.907
P1152,5,87.923,16.381,55.874,84.791,144.077,81.206
P1152,6,93.476,17.93,53.519,106.003,148.331,103.531
P1152,7,89.731,15.944,51.788,87.158,141.929,85.154
P1152,8,94.127,16.935,40.561,77.148,135.899,71.66
P1153,1,121.038,21.959,342.382,426.403,460.103,420.731
P1153,2,116.629,18.421,252.334,319.585,369.523,315.116
P1153,3,111.569,17.496,246.271,339.152,358.038,335.651
P1153,4,106.02,17.591,212.552,267.913,318.602,263.459
P1153,5,116.388,19.505,196.162,262.174,313.116,257.128
P1153,6,119.76,25.547,185.444,257.06,305.129,251.615
P1153,7,115.181,21.687,184.727,258.966,299.846,253.927
P1153,8,117.93,18.041,161.39,236.243,279.471,231.847
P1154,1,90.008,12.602,395.508,284.743,486.12,280.571
P1154,2,85.59,12.126,264.629,300.489,351.306,298.198
P1154,3,89.811,13.322,258.322,181.986,349.242,179.467
P1154,4,90.74,13.209,196.036,139.141,287.195,137.146
P1154,5,83.949,12.216,214.498,139.115,299.21,136.259
P1154,6,89.975,12.629,188.209,142.951,278.3,141.924
P1154,7,88.443,12.619,196.082,125.232,285.003,122.219
P1154,8,86.544,13.059,194.621,121.622,281.644,120.948
P1155,1,88.595,19.643,239.084,254.375,326.587,253.771
P1155,2,82.177,15.584,179.553,212.148,261.179,213.396
P1155,3,79.735,14.817,185.695,179.274,264.924,179.052
P1155,4,82.962,17.129,159.328,156.69,243.099,156.867
P1155,5,79.497,18.359,140.741,148.439,221.147,147.24
P1155,6,86.794,17.012,131.818,132.67,219.548,133.186
P1155,7,91.43,18.936,112.576,145.879,205.341,143.362
P1155,8,95.83,19.052,112.09,201.547,209.149,199.473
P1156,1,122.612,29.15,356.671,381.008,482.074,376.829
P1156,2,116.163,26.257,380.022,475.31,499.224,472.013
P1156,3,117.997,26.493,260.494,298.048,381.429,296.14
P1156,4,132.347,30.929,245.913,270.005,379.419,264.896
P1156,5,133.853,31.627,241.877,323.374,378.333,317.187
P1156,6,130.081,39.208,231.716,331.326,362.268,323.239
P1156,7,127.069,29.187,196.383,260.092,325.85,250.157
P1156,8,142.198,366.244,300.063,862.159,428.989,857.649
P1157,1,96.95,31.333,481.156,519.282,580.701,520.006
P1157,2,102.225,29.826,268.26,288.14,373.223,281.976
P1157,3,104.409,30.651,224.035,236.346,330.519,230.125
P1157,4,93.017,28.232,243.929,388.835,339.32,387.788
P1157,5,108.897,32.362,213.982,215.399,325.243,210.399
P1157,6,104.355,28.089,166.962,165.743,273.834,161.857
P1157,7,99.045,26.972,179.618,183.519,281.031,179.831
