sessionIndex,stress132,UD.g.r,UD.r.e,UD.e.a,UD.a.t,UD.t.space,UD.space.f,UD.f.r,UD.r.i,UD.i.e,UD.e.n,UD.n.d,UD.d.s,UD.s.space,UD.space.a,UD.a.r,UD.r.e.1,UD.e.space,UD.space.g,UD.g.o,UD.o.o,UD.o.d,UD.d.space,UD.space.t,UD.t.o,UD.o.space,UD.space.h,UD.h.a,UD.a.v,UD.v.e,UD.e.Return
003,25% quartile,85.1,-52.0,-45.3,-44.4,8.6,28.7,88.3,5.8,29.8,13.3,18.2,-51.2,1.4,6.3,-56.3,-55.025,-16.0,23.65,13.4,83.9,4.6,16.9,5.7,-16.6,-18.9,17.1,-13.5,-41.7,31.8,12.1
003,50% quartile,121.0,-25.1,3.8,-16.5,45.2,63.0,108.6,31.4,51.2,37.1,43.8,-22.7,35.1,36.4,-16.7,-33.3,19.4,54.9,37.7,94.2,28.1,44.1,36.9,10.8,25.2,78.8,19.8,4.6,57.1,55.2
003,75% quartile,142.975,92.9,122.7,38.5,93.5,114.4,126.5,59.9,76.5,63.2,71.7,110.0,72.6,74.4,76.4,44.1,55.8,101.0,68.5,105.3,55.2,70.7,70.1,39.3,85.3,118.7,48.6,43.6,87.7,114.2
003,mode,127.3,-1.4,-1.3,1.3,1.2,-1.1,113.6,-1.4,1.4,1.2,1.3,-34.6,-1.3,1.3,-1.2,-33.3,1.2,-1.1,-1.2,94.7,1.2,1.1,1.3,-1.4,1.2,-1.1,1.4,1.1,1.3,-1.2
003,median,121.0,-25.1,3.8,-16.5,45.2,63.0,108.6,31.4,51.2,37.1,43.8,-22.7,35.1,36.4,-16.7,-33.3,19.4,54.9,37.7,94.2,28.1,44.1,36.9,10.8,25.2,78.8,19.8,4.6,57.1,55.2
004,mean,121.404,6.779,28.339,7.788,56.607,89.341,112.699,50.848,64.394,52.792,49.918,20.138,49.303,42.144,16.064,-11.971,27.462,75.501,56.428,99.635,38.368,54.691,45.763,20.492,34.087,82.49,15.537,11.003,67.189,77.336
004,std,79.083,101.764,123.767,93.116,90.677,127.5,70.527,96.647,101.195,76.638,86.034,108.911,93.192,90.547,107.825,79.791,74.718,112.11,73.751,42.136,80.152,69.396,76.498,62.731,86.431,110.004,67.597,79.6,66.782,110.527
004,max,2139.1,2525.2,2169.3,1311.1,2057.8,2094.1,1686.1,2521.8,1998.9,1914.1,1993.4,1527.1,2409.5,2113.8,1816.6,1097.0,1444.7,2365.4,1517.8,1292.2,1398.2,1061.5,1275.5,1454.1,1369.5,1592.5,1443.0,1303.8,1706.1,1756.0
004,min,1.2,-404.9,-282.2,-193.2,-117.4,-180.7,1.3,-137.5,-115.9,-162.5,-95.3,-221.1,-382.7,-192.1,-234.4,-284.4,-225.7,-119.1,-100.6,29.0,-142.9,-158.8,-245.0,-197.4,-239.2,-222.2,-205.7,-222.9,1.2,-174.2
004,range,2137.9,2930.1,2451.5,1504.3,2175.2,2274.8,1684.8,2659.3,2114.8,2076.6,2088.7,1748.2,2792.2,2305.9,2051.0,1381.4,1670.4,2484.5,1618.4,1263.2,1541.1,1220.3,1520.5,1651.5,1608.7,1814.7,1648.7,1526.7,1704.9,1930.2
004,skewness,5.125,3.773,2.555,3.325,5.275,4.144,6.234,8.022,6.198,7.482,5.715,1.713,5.394,4.778,2.628,2.035,4.153,4.624,5.388,13.55,5.552,3.863,3.904,4.578,2.692,3.015,5.221,4.16,8.113,3.712
004,kurtosis,72.908,53.837,24.995,24.929,66.784,30.597,80.235,129.194,61.665,103.341,62.264,8.247,74.134,52.192,21.799,13.304,47.066,42.894,68.944,268.53,50.691,33.274,37.795,56.358,21.689,22.012,73.223,44.083,126.255,26.587
004,25% quartile,87.225,-54.4,-50.6,-44.4,9.1,25.025,89.4,9.0,25.1,20.4,9.8,-54.4,4.3,-3.8,-55.0,-60.7,-16.0,21.55,17.1,85.5,2.2,20.6,3.9,-13.2,-24.5,15.0,-21.4,-38.0,33.1,13.2
004,50% quartile,124.7,-26.1,-2.1,-16.5,45.0,59.1,110.5,33.8,47.8,43.9,36.0,-25.9,37.5,27.2,-16.2,-35.9,18.6,51.7,42.7,96.0,25.2,49.1,35.95,14.0,16.5,79.75,13.7,3.2,58.3,55.1
004,75% quartile,149.8,93.6,122.5,39.3,88.7,107.9,128.9,64.4,71.85,69.0,67.2,112.4,73.6,65.4,80.7,33.8,52.6,94.4,75.4,107.1,52.3,77.6,71.75,44.1,82.7,120.8,46.2,44.9,87.25,112.375
004,mode,129.2,-36.2,-1.3,-1.2,-1.3,-1.1,110.5,-1.4,1.4,1.2,1.3,-48.6,1.1,-1.1,-1.2,-40.1,1.2,-1.1,-1.2,96.0,-1.3,-1.3,1.3,1.1,1.2,1.3,-1.4,-1.3,1.2,1.3
004,median,124.7,-26.1,-2.1,-16.5,45.0,59.1,110.5,33.8,47.8,43.9,36.0,-25.9,37.5,27.2,-16.2,-35.9,18.6,51.7,42.7,96.0,25.2,49.1,35.95,14.0,16.5,79.75,13.7,3.2,58.3,55.1
